data_referencia,interrupcoes,temperatura_media
2019-11-24,2364,20.65357142857143
2019-12-01,2169,21.85297619047619
2019-12-08,2273,21.70952380952381
2019-12-15,2589,22.395238095238092
2019-12-22,1835,22.949999999999996
2019-12-29,2661,22.688095238095237
2020-01-05,1800,21.348214285714285
2020-01-12,1906,22.58690476190476
2020-01-19,1646,24.20654761904762
2020-01-26,2463,20.92797619047619
2020-02-02,1599,22.66785714285714
2020-02-09,1576,20.65595238095238
2020-02-16,1564,21.80297619047619
2020-02-23,1347,22.635714285714283
2020-03-01,1420,21.205357142857142
2020-03-08,1439,21.076190476190476
2020-03-15,1052,22.457142857142856
2020-03-22,1417,22.02857142857143
2020-03-29,1333,20.579761904761906
2020-04-05,1084,23.535119047619048
2020-04-12,1314,22.101785714285715
2020-04-19,1271,20.689285714285713
2020-04-26,1189,20.097023809523808
2020-05-03,999,19.79047619047619
2020-05-10,977,19.39702380952381
2020-05-17,1526,19.40297619047619
2020-05-24,1081,19.91428571428571
2020-05-31,1272,17.804166666666667
2020-06-07,1013,19.89642857142857
