Modelo,Horizonte,Mes,n,MAE,RMSE,Erro_Medio
Bi-LSTM,7,2024-10,31,174.4096710028187,235.35857476426335,15.896971158442922
Bi-LSTM,7,2024-11,30,126.61189323117335,162.9732966972848,-18.362300467987907
Bi-LSTM,7,2024-12,31,66.79047972540701,91.91289875097866,13.47542018563512
Bi-LSTM,7,2025-01,31,94.83593542681588,162.67048666430932,32.952320268557884
Bi-LSTM,7,2025-02,28,52.19320717986143,66.41573207248065,-30.86922713475572
Bi-LSTM,7,2025-03,31,75.69242661806845,143.3188823870231,39.684876345819
Bi-LSTM,7,2025-04,30,57.05249617323279,66.87572911171968,16.284252467006407
Bi-LSTM,7,2025-05,31,36.11180335715896,46.167577644187034,-16.117452306612872
Bi-LSTM,14,2024-06,17,26.33149728091327,31.176593241150194,-22.56453767681825
Bi-LSTM,14,2024-07,31,25.9396119769062,30.726644082031513,-21.566010947429387
Bi-LSTM,14,2024-08,31,41.22605827763197,63.39962685439527,-1.8323709928701275
Bi-LSTM,14,2024-09,30,83.45434627508126,106.51540450914486,-76.06717336997393
Bi-LSTM,14,2024-10,31,193.52824794380896,263.6056199107345,115.40959081726686
Bi-LSTM,14,2024-11,30,64.26510355770587,92.31115582230541,21.680559601386342
Bi-LSTM,14,2024-12,31,103.15266559825787,124.08086633418219,61.308019814472
Bi-LSTM,14,2025-01,31,94.89374109141285,168.2530924034678,87.63805141756609
Bi-LSTM,14,2025-02,28,40.93205996389901,48.09818391011364,3.624639609030273
Bi-LSTM,14,2025-03,31,72.17343866993343,139.02943205716699,25.76700448340943
Bi-LSTM,14,2025-04,30,54.797578360388655,65.21721773551366,39.35683041239774
Bi-LSTM,14,2025-05,31,30.291202378128812,40.59825088433591,-5.001292827869643
XGBoost,1,2024-06,17,22.12699082318474,26.37174374829036,-5.368000703699445
XGBoost,1,2024-07,31,21.478505780619958,27.74614581936943,-1.8750009844380005
XGBoost,1,2024-08,31,55.738756733555945,83.60527209916567,-16.344590710055442
XGBoost,1,2024-09,30,114.31433614095052,132.39694853572922,-113.53680928548177
XGBoost,1,2024-10,31,132.86471557617188,184.42542152416306,30.6705607752646
XGBoost,1,2024-11,30,76.35932973225911,98.50453325041588,-3.017266337076821
XGBoost,1,2024-12,31,76.85235891034526,102.7321832538425,0.25522244361138563
XGBoost,1,2025-01,31,79.93750787550404,139.5223947641385,29.628939720892138
XGBoost,1,2025-02,28,43.32472719464983,54.919900333078914,-3.8466322762625538
XGBoost,1,2025-03,31,61.468750984438,125.12773776276782,19.54112489761845
XGBoost,1,2025-04,30,44.09854736328125,53.931476023715625,16.486377970377607
XGBoost,1,2025-05,31,34.32627425655242,43.24249355490769,3.731235627205141
XGBoost,3,2024-06,17,23.589709113625926,29.381678773159933,-7.341319364659927
XGBoost,3,2024-07,31,22.640266664566532,28.401429933563325,-4.757253339213708
XGBoost,3,2024-08,31,62.89001907840852,93.96457083071223,-27.065418366462954
XGBoost,3,2024-09,30,185.20960184733073,200.12774127920906,-185.20960184733073
XGBoost,3,2024-10,31,146.1040255638861,203.10070385049224,1.6789865801411235
XGBoost,3,2024-11,30,75.34532165527344,93.91463713093812,2.237616984049483
XGBoost,3,2024-12,31,69.12239714591733,87.90633361171489,17.189334992439516
XGBoost,3,2025-01,31,91.67906287408644,165.14869869062915,65.44917888026083
XGBoost,3,2025-02,28,56.420792715890066,64.96088554252192,-19.043522426060264
XGBoost,3,2025-03,31,81.34970092773438,148.77668790159566,27.32815157982611
XGBoost,3,2025-04,30,57.982688395182294,67.97143272164385,29.530452473958338
XGBoost,3,2025-05,31,30.841236729775705,42.02496389153212,5.7527387065272215
XGBoost,7,2024-06,17,28.070837581858914,34.054326219067306,-10.570074642405798
XGBoost,7,2024-07,31,21.777059247416833,26.93361796186375,-8.852782218686995
XGBoost,7,2024-08,31,52.69479517782888,73.42809616237278,-13.33578835764239
XGBoost,7,2024-09,30,172.81653645833333,181.20854924075024,-172.81653645833333
XGBoost,7,2024-10,31,142.8482429750504,215.61665532619102,36.780608146421365
XGBoost,7,2024-11,30,79.8846445719401,107.93939302822756,19.572059122721353
XGBoost,7,2024-12,31,85.28373078377017,110.03895438793907,49.98025414251512
XGBoost,7,2025-01,31,89.50054636309224,163.74187623309905,64.54746467836442
XGBoost,7,2025-02,28,55.41549410138811,67.80526185132454,-21.042781829833984
XGBoost,7,2025-03,31,77.72099254977319,152.908341105272,36.908111572265625
XGBoost,7,2025-04,30,63.35960896809896,73.36969499625899,31.24401346842448
XGBoost,7,2025-05,31,40.46514597246724,54.7262054862012,-4.097000614289312
XGBoost,14,2024-06,17,26.05710826200597,33.403276011618544,-14.821853637695307
XGBoost,14,2024-07,31,26.1467772453062,30.550029662769006,-9.857728527438253
XGBoost,14,2024-08,31,45.85846636372228,64.4374973175021,-1.73534467143397
XGBoost,14,2024-09,30,130.2289611816406,141.90101252971164,-130.07232462565105
XGBoost,14,2024-10,31,139.77994463520665,215.24046667819874,66.9059546685988
XGBoost,14,2024-11,30,69.8372314453125,97.5964118554116,38.30692952473958
XGBoost,14,2024-12,31,81.24900867092994,105.43208014822758,58.59520795268397
XGBoost,14,2025-01,31,92.30023193359375,167.11698031399078,72.20807081653226
XGBoost,14,2025-02,28,43.0175906590053,54.92646343585212,-13.551514216831748
XGBoost,14,2025-03,31,78.51641156596523,148.94533801187285,44.18412633096018
XGBoost,14,2025-04,30,60.87922973632813,73.6318285637809,32.964990234375
XGBoost,14,2025-05,31,29.959157636088708,38.18868573387436,-0.8315370621219703
