mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_gamma,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.957365083694458,0.26066107545670303,0.008004045486450196,0.006777067323823533,0.7,0.0,0.03,8,3,300,0.8,"{'colsample_bytree': 0.7, 'gamma': 0, 'learning_rate': 0.03, 'max_depth': 8, 'min_child_weight': 3, 'n_estimators': 300, 'subsample': 0.8}",-37.71808798895942,-41.237584567599825,-66.94313622368706,-66.88946105957031,-59.22148705376519,-54.40195137871636,12.554672362223641,90
1.3639909267425536,0.36539104656695426,0.005827760696411133,0.0013475659763763483,0.7,0.0,0.03,8,3,500,0.7,"{'colsample_bytree': 0.7, 'gamma': 0, 'learning_rate': 0.03, 'max_depth': 8, 'min_child_weight': 3, 'n_estimators': 500, 'subsample': 0.7}",-37.94623950534397,-41.47184631347656,-66.8106931898329,-67.58338080512152,-60.815419582790796,-54.92551587931315,12.692257488635256,160
1.379206132888794,0.40950894658701503,0.005103397369384766,0.0003767141931494943,0.7,0.0,0.03,8,3,500,0.8,"{'colsample_bytree': 0.7, 'gamma': 0, 'learning_rate': 0.03, 'max_depth': 8, 'min_child_weight': 3, 'n_estimators': 500, 'subsample': 0.8}",-37.892061208089196,-41.38862230088976,-67.00326229519314,-67.12047271728515,-59.75434393988715,-54.63175249226888,12.576653707224763,119
0.2518795013427734,0.05888095006330278,0.0034006118774414064,0.0008007660775893403,0.7,0.0,0.05,4,1,300,0.7,"{'colsample_bytree': 0.7, 'gamma': 0, 'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 1, 'n_estimators': 300, 'subsample': 0.7}",-37.96164527045356,-40.506539323594836,-65.73679836697049,-65.3567350938585,-59.738924492730035,-53.86012850952149,12.156213271569966,47
0.23195357322692872,0.02985429598349139,0.0031007766723632813,0.000488685569965968,0.7,0.0,0.05,4,1,300,0.8,"{'colsample_bytree': 0.7, 'gamma': 0, 'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 1, 'n_estimators': 300, 'subsample': 0.8}",-38.31990744696723,-40.62603234185113,-65.08939410739475,-64.58819407145182,-59.6781091647678,-53.660327426486546,11.75990531558625,35
0.3565241813659668,0.04515893571704901,0.003702211380004883,0.0005113306832056591,0.7,0.0,0.05,4,1,500,0.7,"{'colsample_bytree': 0.7, 'gamma': 0, 'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 1, 'n_estimators': 500, 'subsample': 0.7}",-38.430005933973526,-40.554357248942054,-66.42494230482313,-65.77351352267794,-61.038377651638456,-54.44423933241103,12.36735099523596,98
0.3570295810699463,0.05012574992365464,0.006008052825927734,0.0052542838107564535,0.7,0.0,0.05,4,1,500,0.8,"{'colsample_bytree': 0.7, 'gamma': 0, 'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 1, 'n_estimators': 500, 'subsample': 0.8}",-38.543322228325735,-41.011650814480255,-65.54760908338758,-65.12364315456814,-60.857322184244794,-54.216709493001304,11.928762445383999,77
0.20208044052124025,0.029438644841528763,0.0028009414672851562,0.0004006650432862996,0.7,0.0,0.05,4,3,300,0.7,"{'colsample_bytree': 0.7, 'gamma': 0, 'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 3, 'n_estimators': 300, 'subsample': 0.7}",-39.08282965766059,-40.62145941840278,-66.01531071980794,-65.84035078260634,-60.16557430691189,-54.3451049770779,12.029029360447538,83
0.20358591079711913,0.02122417357893442,0.002902317047119141,0.0002003153912047445,0.7,0.0,0.05,4,3,300,0.8,"{'colsample_bytree': 0.7, 'gamma': 0, 'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 3, 'n_estimators': 300, 'subsample': 0.8}",-37.821516893174916,-40.94343058268229,-65.3469509379069,-64.9894191148546,-59.183046400282116,-53.65687278578016,11.899691065049081,33
0.3384120464324951,0.050692237038761086,0.0035035133361816405,0.00031585620653142504,0.7,0.0,0.05,4,3,500,0.7,"{'colsample_bytree': 0.7, 'gamma': 0, 'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 3, 'n_estimators': 500, 'subsample': 0.7}",-39.333951992458765,-41.04965389675564,-66.23902187771267,-66.42933163113064,-60.9904790242513,-54.80848768446181,12.10524601139473,143
