data_referencia,interrupcoes,precipitacao_total_mm,temperatura_media,vento_velocidade_media_ms,vento_velocidade_max_ms,vento_rajada_max_ms,vento_dir_sin,vento_dir_cos,vento_direcao_media_circular_gr,n_dias
2018-05-07,788,0.0,20.98928571428571,2.395833333333333,4.4,9.3,0.9619078926561647,-0.273373747908932,105.86512357466366,7
2018-05-14,826,0.0,20.05103519668737,2.181055900621118,5.3,8.8,0.9485483181783086,-0.316632417925111,108.45938953534329,7
2018-05-21,1374,9.6,19.47738095238095,1.9083333333333332,5.4,11.9,0.9642763771075147,-0.26489822300726373,105.36090528191178,7
2018-05-28,855,0.0,18.917261904761904,2.639285714285714,5.0,9.1,0.9238700009019472,-0.38270644289512046,112.50142704000864,7
2018-06-04,805,0.0,18.30297619047619,2.1910714285714286,5.6,9.2,0.9335642877111102,-0.35840998969120175,111.00258011380856,7
2018-06-11,952,0.0,20.71190476190476,1.9946428571428572,5.0,8.6,0.9830136207276414,0.1835326168939263,79.42440721995486,7
2018-06-18,802,0.0,19.392857142857142,2.011309523809524,4.4,8.6,0.9576861904632737,-0.2878144551546051,106.7271557908925,7
2018-06-25,747,0.0,18.875,2.473809523809524,4.7,10.1,0.9974077418054443,-0.07195690784465396,94.12639330183127,7
2018-07-02,859,0.0,19.177380952380954,2.0833333333333335,4.6,10.1,0.9990864759046714,-0.04273422123292481,92.44923637500389,7
2018-07-09,888,0.0,19.247619047619047,2.013095238095238,4.7,10.5,0.8802058385821867,-0.47459212143253016,118.33279641933309,7
2018-07-16,911,0.0,19.54285714285714,2.0994047619047618,4.9,9.7,0.8335444400437788,-0.552452411047416,123.53542183324711,7
2018-07-23,935,0.0,19.096428571428568,2.836904761904762,5.7,10.5,0.9815936496357232,-0.1909814310209797,101.0100649244057,7
2018-07-30,921,0.0,19.323809523809523,2.4476190476190474,5.6,9.9,0.9957706443459405,-0.09187395636887677,95.2714236197004,7
2018-08-06,1068,0.0,21.775,1.469642857142857,4.3,8.2,0.27277792222375885,0.9620770266186013,15.829636502335196,7
2018-08-13,1159,2.2,21.682738095238097,1.945238095238095,4.7,12.1,0.4793768713906334,-0.8776091471581915,151.35528758975454,7
2018-08-20,1388,16.2,20.426190476190474,2.3916666666666666,4.8,9.4,0.9914540304112981,0.13045652755302437,82.504025915206,7
2018-08-27,873,4.6,22.529166666666665,2.613095238095238,5.6,11.2,0.9846642657353655,-0.17445997759897122,100.04723368175632,7
2018-09-03,1029,0.0,22.199999999999996,2.930357142857143,6.3,11.8,0.9644806786697845,0.2641534032956454,74.68334603913954,7
2018-09-10,778,0.0,21.96845238095238,2.6720238095238096,4.7,11.8,0.7695068938291291,-0.638638505219851,129.69037102122303,7
2018-09-17,1308,12.2,23.185714285714283,2.1357142857142857,4.6,9.7,0.9919096148549915,0.12694611438804382,82.70684464605831,7
2018-09-24,1513,27.4,22.80535714285714,1.9714285714285715,4.2,10.1,0.9647392540927058,-0.26320746876304557,105.26046746687922,7
2018-10-01,984,0.0,25.360714285714288,1.975,3.9,9.1,0.9902538557014852,0.13927419455284037,81.99415079820596,7
2018-10-08,1146,13.4,24.025000000000002,2.0625,5.2,10.8,0.9442442068211281,-0.3292459231102772,109.22301249423938,7
2018-10-15,1182,10.6,24.69107142857143,1.9666666666666668,4.7,11.6,0.9857929203124434,-0.16796522932400218,99.66953421158269,7
2018-10-22,1699,123.2,21.867261904761904,2.055357142857143,4.7,10.0,0.9644601339322953,0.26422840508790696,74.6788904476333,7
2018-10-29,1930,116.2,21.978571428571428,2.038690476190476,4.3,17.9,-0.2842487792942399,-0.9587505574807946,196.5139497538159,7
2018-11-05,1749,58.6,21.502976190476193,1.8333333333333335,6.3,15.8,0.13543656465390766,0.9907860197614559,7.783865056779276,7
2018-11-12,1475,102.0,20.122619047619047,1.8863095238095238,4.6,11.7,0.2087193050158087,0.9779755885060311,12.047310806035556,7
2018-11-19,1569,94.0,21.913095238095234,1.8869047619047616,4.4,11.1,0.6077533260566605,0.7941258682772313,37.42723049676278,7
2018-11-26,1301,54.2,20.06964285714286,2.2607142857142857,4.6,10.1,0.9443899919748611,0.3288275278283766,70.80237334643238,7
2018-12-03,1167,11.6,20.963690476190475,3.0535714285714284,5.5,13.1,0.3328755981800106,0.9429707504139775,19.44340583658437,7
2018-12-10,1561,79.80000000000001,20.767857142857142,2.273214285714286,5.4,13.5,0.24827248013087336,0.9686902371809397,14.375309978408835,7
2018-12-17,1133,0.4,22.172023809523807,2.3970238095238092,4.6,10.6,0.9697234964303495,0.2442055291570973,75.86511215679558,7
2018-12-24,1911,42.4,23.04345238095238,1.8678571428571427,3.9,9.9,0.9835510341659812,-0.18063046030785798,100.4064844796971,7
2018-12-31,1810,65.2,21.508928571428573,1.9446428571428573,5.3,12.8,-0.7485208358363497,0.6631112714460918,311.5375899265522,7
2019-01-07,1543,12.0,22.394642857142856,1.8547619047619046,5.7,12.0,0.8474699336927776,0.5308433963861275,57.93754254935728,7
2019-01-14,1559,9.2,22.064285714285713,2.3392857142857144,6.6,10.8,0.987617307206903,-0.15688229506666995,99.02597954401956,7
2019-01-21,1281,7.4,23.576190476190476,1.9398809523809526,4.3,8.9,0.945317693369651,-0.326150975166843,109.03532105488807,7
2019-01-28,1558,16.0,23.082142857142856,2.4404761904761902,5.4,11.3,0.9986838907923283,-0.05128826641539722,92.93989105657252,7
2019-02-04,1381,8.0,24.480357142857144,2.4476190476190474,4.7,11.2,0.8560374248774827,-0.516913848923714,121.12546532209747,7
2019-02-11,2180,79.6,21.401785714285715,1.7136904761904763,7.1,12.1,0.8010052305277452,0.59865734829466,53.2262023000782,7
2019-02-18,1464,27.4,21.98690476190476,2.2601190476190474,5.0,13.1,-0.9949900692148497,0.09997380738887951,275.7376621928095,7
2019-02-25,1704,34.0,22.202380952380956,1.9208333333333332,4.8,12.6,-0.2516285703207087,0.9678238799483903,345.42609646698816,7
2019-03-04,1294,76.4,21.066666666666666,1.8244047619047616,4.7,12.8,-0.37400081370719923,0.9274283753187375,338.03742951634877,7
2019-03-11,1316,31.0,21.63095238095238,1.9702380952380953,5.7,13.1,0.9903950554335976,-0.13826653308982984,97.9475503849742,7
2019-03-18,1500,21.6,22.442857142857143,1.5797619047619047,4.3,9.2,0.737712288439154,-0.6751152342273625,132.46309944270254,7
2019-03-25,1464,59.8,21.641666666666662,2.020238095238095,5.0,11.0,-0.017767430797841273,-0.9998421467425965,181.0180523656982,7
