data_referencia,interrupcoes,precipitacao_total_mm
2024-12-01,2175,4.2
2024-12-08,2298,53.4
2024-12-15,2810,33.8
2024-12-22,2837,39.0
2024-12-29,2735,86.4
2025-01-05,2460,3.6
2025-01-12,2481,75.2
2025-01-19,2411,73.6
2025-01-26,3644,38.2
2025-02-02,2637,39.4
2025-02-09,1839,4.800000000000001
2025-02-16,2191,59.4
2025-02-23,1772,2.6
2025-03-02,2062,1.6
2025-03-09,1731,0.0
2025-03-16,3015,72.6
2025-03-23,2425,40.6
2025-03-30,2094,7.6000000000000005
2025-04-06,1655,1.2000000000000002
2025-04-13,2043,22.2
2025-04-20,2103,47.6
2025-04-27,2024,6.199999999999999
2025-05-04,1960,1.4000000000000001
2025-05-11,1399,0.0
2025-05-18,1651,0.0
2025-05-25,1759,1.2
2025-06-01,1414,0.0
