data_referencia,interrupcoes,precipitacao_total_mm,temperatura_media,vento_velocidade_media_ms,vento_velocidade_max_ms,vento_rajada_max_ms,vento_dir_sin,vento_dir_cos
2018-11-01,6307,298.8,20.888055555555557,2.0706944444444444,5.0,11.7,0.5885693890637984,0.8084467046485297
2018-12-01,6882,199.4,21.695967741935483,2.24502688172043,5.5,13.5,0.268140953317021,0.9633796910638293
2019-01-01,6534,44.6,22.91572580645161,2.205913978494624,6.6,12.0,0.9986649175159379,-0.05165638898418087
2019-02-01,6729,175.0,22.275000000000002,1.9813988095238095,7.1,13.1,0.1430939594425907,0.9897091081580699
2019-03-01,5883,241.6,21.667473118279567,2.019489247311828,5.7,13.1,0.9967357053732687,-0.0807337205512825
2019-04-01,5482,320.2,21.569999999999997,1.6030555555555557,5.3,14.2,0.9971803700473564,0.07504205215888783
2019-05-01,4270,67.6,21.1508064516129,1.8509408602150537,4.6,9.5,0.9532440573687998,-0.3022015338992645
2019-06-01,3952,8.0,19.42208333333333,2.441666666666667,6.0,11.3,0.9778848833894217,-0.20914386158445358
2019-07-01,4266,0.0,18.926612903225806,2.459274193548387,6.2,10.9,0.9807319922909863,-0.1953580284937195
2019-08-01,4667,0.0,21.446370967741935,2.6619623655913975,6.6,12.3,0.9630447242330479,-0.26934152878249723
2019-09-01,5684,10.200000000000001,24.72027997364954,2.663395915678524,6.4,11.8,0.9866787636313913,0.16268072227166033
2019-10-01,6600,22.8,24.400403225806453,2.2544354838709677,5.5,12.5,0.9999742141265379,-0.007181300857980783
2019-11-01,9428,211.20000000000002,22.825,2.039722222222222,7.3,18.9,0.2338650507132963,0.9722690666964919
2019-12-01,10190,268.2,22.449059139784946,2.0623655913978496,4.9,17.5,0.938658749780312,-0.34484743215059827
2020-01-01,8606,311.0,22.213172043010754,2.383467741935484,6.2,15.3,-0.24173509150477113,0.9703422826689455
2020-02-01,6062,194.2,21.75948275862069,1.9481321839080459,6.8,13.4,0.21791248405760014,0.9759683136720404
2020-03-01,5768,282.8,21.606586021505375,2.1236559139784945,5.0,10.8,0.7560853587729387,0.6544730172048323
2020-04-01,5094,179.8,21.279027777777777,2.04125,5.0,9.9,0.9998292397045779,-0.01847948678307331
2020-05-01,5248,29.2,19.193279569892475,1.9170698924731182,4.6,8.8,0.944716889547843,-0.3278871735872698
2020-06-01,4931,0.0,19.157222222222224,2.300972222222222,7.1,12.3,0.9999762154140797,-0.006896999792231776
2020-07-01,5383,0.0,19.303897849462366,2.4619623655913982,6.7,13.0,0.9999782878242228,-0.006589679820419697
2020-08-01,4536,0.0,20.419489247311827,2.771774193548387,5.7,13.2,0.9989929661268074,-0.044867066197415505
2020-09-01,5937,29.799999999999997,23.55236111111111,2.537361111111111,5.5,12.9,0.9987825770340384,0.04932913756843039
2020-10-01,9198,169.2,23.68924731182796,2.2884408602150534,6.1,14.0,0.7682001095176121,0.6402098029061479
