data,temperatura_media,precipitacao_total_mm,vento_velocidade_media_ms,vento_velocidade_max_ms,vento_rajada_max_ms,vento_direcao_media_circular_gr,vento_dir_sin,vento_dir_cos,n_registros
2018-10-05,25.125,7.6,1.8499999999999999,3.5,7.1,134.34684411203358,0.7151214814114067,-0.6990001908611722,24
2018-10-06,23.837500000000002,1.6,2.1666666666666665,4.5,10.8,80.32193460647268,0.9857678998301351,0.1681120092809693,24
2018-10-07,22.479166666666668,0.4,1.6791666666666665,3.5,7.4,100.82433504812735,0.9822075762824117,-0.1877985013077327,24
2018-10-08,24.870833333333334,0.0,2.3666666666666667,5.2,9.3,63.03930151488797,0.8913177251709079,0.4533792152229276,24
2018-10-09,23.004166666666666,0.0,1.75,4.1,9.0,274.40395758779823,-0.9970474506397837,0.07678789730620296,24
2018-10-10,23.09583333333333,0.0,1.8791666666666667,3.9,8.5,236.12734384427011,-0.8302783689028927,-0.5573489303227845,24
2018-10-11,25.337500000000002,0.0,2.025,4.7,8.4,139.88965547668616,0.6442617227550874,-0.7648050945127438,24
2018-10-12,26.8125,0.0,2.0,3.9,9.3,53.31914957870422,0.8019753396470835,0.5973571415811024,24
2018-10-13,27.008333333333336,0.0,1.8833333333333335,4.2,8.4,45.85507474679103,0.7175804163060243,0.6964756608339395,24
2018-10-14,25.204166666666666,4.8,2.8625000000000003,4.6,11.6,188.59997151233145,-0.14953485183044662,-0.9887564553963966,24
2018-10-15,22.375,5.8,1.3666666666666665,3.2,6.7,36.0931051648635,0.5890991215446014,0.8080607805081118,24
2018-10-16,23.575,0.0,2.3291666666666666,4.7,9.7,71.35038653045567,0.9474918619850152,0.3197798797175471,24
2018-10-17,22.579166666666666,0.0,1.8708333333333333,4.0,9.8,14.234166600843796,0.24588544156903558,0.9692988959162185,24
2018-10-18,23.304166666666664,0.0,1.7750000000000001,3.5,8.8,8.81196199250239,0.15319215146942003,0.9881964201150347,24
2018-10-19,20.870833333333334,46.599999999999994,2.033333333333333,4.6,9.8,225.96833762373342,-0.718955813473908,-0.6950557806910688,24
2018-10-20,21.733333333333334,51.2,1.6166666666666665,3.5,10.0,140.64002758690768,0.6341905164912577,-0.7731768159952495,24
2018-10-21,20.712500000000002,20.2,2.1999999999999997,3.7,7.8,97.81009402319403,0.9907239155494714,-0.13589011427739722,24
2018-10-22,20.295833333333334,5.2,2.5625,4.3,7.7,77.77705557967278,0.9773311897018343,0.21171619124667151,24
2018-10-23,20.770833333333332,17.2,2.1958333333333333,3.8,10.2,101.42225719818468,0.9801943184157856,-0.1980381229597306,24
2018-10-24,21.733333333333334,10.0,1.8916666666666666,3.2,7.6,34.11184720597065,0.5608102028906432,0.8279443920540531,24
2018-10-25,20.391666666666666,18.0,2.1708333333333334,3.8,8.3,152.73136567123268,0.4581630262885298,-0.8888681799581623,24
2018-10-26,22.34166666666667,6.8,1.6500000000000001,2.8,7.9,168.27853894038526,0.2031540648418126,-0.9791467846744166,24
2018-10-27,23.866666666666664,14.6,2.2375,4.3,10.7,263.9248110802648,-0.9943838669695182,-0.10583347821340577,24
2018-10-28,23.6125,0.0,2.220833333333333,4.2,10.5,239.42175130918088,-0.8609352133653604,-0.5087146138922505,24
2018-10-29,21.133333333333333,49.599999999999994,1.9041666666666668,3.5,17.9,317.27539034280363,-0.6784752674856879,0.7346232445343834,24
2018-10-30,22.162499999999998,0.2,1.9666666666666668,3.7,7.2,84.465166092939,0.9953377434158603,0.09645090218252485,24
2018-10-31,23.070833333333336,9.8,2.1416666666666666,6.3,15.8,41.070633857450936,0.6569889311935984,0.7539002217064891,24
2018-11-01,20.920833333333334,10.4,1.4708333333333332,3.4,7.2,156.0297949800829,0.4062615257336738,-0.9137568455057108,24
2018-11-02,20.825,1.0,1.2791666666666666,2.6,6.3,236.26634889954516,-0.8316281060427232,-0.5553329570985259,24
2018-11-03,20.366666666666667,37.2,2.0124999999999997,3.7,7.6,358.61444232767985,-0.02418018645380596,0.999707616547488,24
2018-11-04,21.26666666666667,0.0,2.2958333333333334,4.4,10.5,324.16591076306815,-0.5854401295977427,0.8107156435252612,24
2018-11-05,21.90833333333333,0.0,1.6666666666666667,3.4,7.5,341.0238863944169,-0.3251739430476801,0.9456542215645337,24
2018-11-06,19.808333333333334,11.600000000000001,1.8375000000000001,4.6,10.6,27.244362289521355,0.45778643662748825,0.8890621904230923,24
2018-11-07,19.841666666666665,14.6,2.1791666666666667,3.2,8.6,50.54427361975697,0.7721158636115487,0.6354817803520352,24
2018-11-08,19.895833333333332,27.4,2.0208333333333335,4.2,11.7,5.949931728257967,0.10365935435098261,0.9946128584808952,24
2018-11-09,19.379166666666666,12.0,1.6375,3.9,7.4,351.2902769706857,-0.1514285643687725,0.9884682037846299,24
2018-11-10,18.8625,13.8,1.9916666666666665,3.3,8.4,25.43605135071257,0.42950344036380983,0.9030652217396323,24
2018-11-11,20.916666666666668,4.8,1.6916666666666667,3.1,8.4,304.00044387702167,-0.829033240398152,0.5591993261037963,24
2018-11-12,22.15416666666667,17.8,1.8458333333333332,3.4,7.1,27.82734849601905,0.46680881653604367,0.8843582581760733,24
2018-11-13,21.554166666666664,19.2,2.125,3.6,10.4,21.861000590814726,0.37235614768335795,0.9280899198258805,24
2018-11-14,22.45,0.0,1.6583333333333332,4.0,7.9,30.246781997080646,0.5037254591490009,0.8638637981795095,24
2018-11-15,22.22083333333333,21.0,1.7,3.2,9.0,307.6236369065209,-0.7920378655312514,0.6104719646017327,24
2018-11-16,20.958333333333332,49.800000000000004,1.7083333333333333,3.0,11.1,33.888991020036514,0.557585617677957,0.8301194365624089,24
2018-11-17,21.395833333333332,0.4,2.3333333333333335,4.4,9.0,51.70930346303224,0.7848769974652778,0.6196515947287559,24
2018-11-18,22.745833333333334,2.2,2.0875,3.5,7.1,53.05524367365473,0.7992153991453324,0.6010447119549152,24
2018-11-19,22.066666666666666,1.4000000000000001,1.5958333333333332,3.2,5.6,147.548091350599,0.5365915165204698,-0.8438421323910429,24
2018-11-20,20.404166666666665,3.4,1.9333333333333333,3.1,7.5,137.17644488930392,0.6797428936288052,-0.733450474511496,24
2018-11-21,20.849999999999998,0.8,2.0708333333333333,4.1,8.4,118.80249034902683,0.8762857398938195,-0.481791762132502,24
2018-11-22,20.083333333333332,4.2,2.6041666666666665,4.5,9.1,85.78342307396126,0.9972932460663414,0.07352673901690299,24
2018-11-23,21.508333333333336,0.8,1.9625000000000001,3.7,8.0,49.37874540012069,0.7590298421048076,0.6510558338532503,24
2018-11-24,19.375,19.6,2.6333333333333333,4.6,10.1,347.759214214112,-0.21202051269559963,0.9772652158939736,24
2018-11-25,18.4375,25.0,2.2708333333333335,3.7,7.8,345.82996202669756,-0.24480039447134203,0.9695734974032011,24
2018-11-26,19.829166666666666,0.4,2.35,4.0,9.0,96.66556400051842,0.9932405917841148,-0.11607379907774726,24
2018-11-27,20.883333333333333,0.0,3.3208333333333333,4.3,8.9,86.01893869557043,0.9975870532490371,0.0694267325307976,24
2018-11-28,21.4875,0.0,3.8208333333333333,5.0,9.5,94.17507093354764,0.9973462483454382,-0.07280426437565012,24
2018-11-29,22.599999999999998,0.0,2.375,4.0,7.5,77.27308472073908,0.975431161305565,0.22030444742237273,24
2018-11-30,21.645833333333332,0.0,1.6416666666666666,4.3,9.5,11.68473799176813,0.20252645033877933,0.979276792798223,24
2018-12-01,20.241666666666667,0.0,3.4958333333333336,5.5,11.3,322.2146386930748,-0.6127051542662557,0.7903115802868915,24
2018-12-02,20.2375,2.4,3.4499999999999997,4.9,10.6,322.36137011361825,-0.6106792016826337,0.7918780920269616,24
2018-12-03,19.650000000000002,9.2,3.2708333333333335,4.9,13.1,313.45427211094795,-0.7259235172518744,0.6877754336268981,24
2018-12-04,20.304166666666667,4.6000000000000005,2.1958333333333333,2.9,8.0,324.7997932239445,-0.5764352651790434,0.8171428180299732,24
2018-12-05,21.820833333333336,0.0,1.7583333333333335,3.5,6.3,315.18165113674536,-0.7048614124909135,0.7093450424027183,24
2018-12-06,22.599999999999998,2.0,1.8958333333333333,4.0,9.6,57.23311571606883,0.8408795586582831,0.5412222905892282,24
