data_referencia,interrupcoes,vento_velocidade_media_ms,vento_velocidade_max_ms,vento_rajada_max_ms,vento_direcao_media_gr,vento_direcao_moda_gr,n_dias
2017-10-30,1476,2.6064278836262886,7.9,20.5,153.71233491223524,1.0,7
2017-11-06,1737,2.445401315492751,8.2,16.4,143.76368094437723,42.0,7
2017-11-13,1859,2.536616364494516,7.1,15.9,160.06069663093777,19.0,7
2017-11-20,1484,2.3368665035034346,7.4,15.2,162.56877036136626,6.0,7
2017-11-27,1807,1.8985500451524793,9.1,16.1,186.76456122153022,24.0,7
2017-12-04,1666,2.280031537214385,8.3,18.7,223.26391905366202,28.0,7
2017-12-11,1383,1.9809841102890526,6.0,11.6,244.6900830736467,306.0,7
2017-12-18,1573,2.0241375363142606,7.0,14.5,169.9029757611314,27.0,7
2017-12-25,1840,1.9349504034116563,7.9,13.9,156.5015708665803,5.0,7
2018-01-01,1912,1.774870999681924,7.1,22.0,179.91298083335897,9.0,7
2018-01-08,1941,1.7168505823381983,7.9,14.6,209.1424692245319,4.0,7
2018-01-15,1747,2.335677169172754,7.6,15.8,139.5080345697601,87.0,7
2018-01-22,1359,2.1752250900360144,6.9,12.0,113.75105042016807,51.0,7
2018-01-29,1621,1.9365246098439375,6.4,16.0,174.4014905962385,2.0,7
2018-02-05,1694,2.2673200297067977,8.0,13.0,242.69417631459365,78.0,7
2018-02-12,1292,1.9568897559023608,6.8,12.5,189.12350940376152,12.0,7
2018-02-19,1247,2.5938324664937684,7.9,14.8,111.28219218152276,84.0,7
2018-02-26,1884,1.8198809523809523,7.1,15.9,202.68571428571428,4.0,7
2018-03-05,1546,1.6008420441347269,7.1,15.8,172.47044134727062,6.0,7
2018-03-12,1657,1.7039326765188834,6.4,15.8,234.16338259441707,26.0,7
2018-03-19,1505,1.6758333333333333,6.0,20.7,171.225,1.0,7
2018-03-26,1435,1.8341307718448665,6.4,12.5,146.1674270421817,2.0,7
2018-04-02,1006,2.250595238095238,9.0,15.0,112.46666666666667,83.0,7
2018-04-09,1635,1.7871428571428571,6.5,11.5,146.12261904761905,3.0,7
2018-04-16,1291,2.6120238095238095,9.3,15.7,104.93571428571428,62.0,7
2018-04-23,1033,2.355442612942613,7.2,11.5,109.47918192918192,50.0,7
2018-04-30,947,2.243333333333333,6.7,10.9,103.82857142857144,80.0,7
2018-05-07,788,2.313095238095238,7.9,13.1,113.42857142857143,73.0,7
2018-05-14,826,2.1480952380952383,6.0,11.1,116.04744897959183,39.0,7
2018-05-21,1374,1.9024958949096877,8.6,14.0,139.09679802955665,7.0,7
2018-05-28,855,2.7251559934318554,9.9,15.3,112.6409277504105,77.0,7
2018-06-04,805,2.4888539253392064,9.7,16.7,115.27730848458751,71.0,7
2018-06-11,952,2.005727138358717,6.7,12.1,130.038683246578,50.0,7
2018-06-18,802,2.107149122807017,6.1,10.4,114.54304511278194,66.0,7
2018-06-25,747,2.5583245335390963,10.1,15.4,94.00673080718603,49.0,7
2018-07-02,859,2.1693973872734937,8.2,13.4,97.4385587863464,56.0,7
2018-07-09,888,2.0741666666666663,6.6,11.9,114.20357142857144,12.0,7
2018-07-16,911,2.0799999999999996,8.5,13.6,133.27380952380955,64.0,7
2018-07-23,935,2.798690476190476,9.1,15.6,92.94761904761904,93.0,7
