Modelo,Horizonte,Mes,n,MAE,RMSE,Erro_Medio
Bi-GRU,7,2024-10,31,141.38135967091208,214.3586992992529,61.3715096130486
Bi-GRU,7,2024-11,30,144.58469011535246,185.69070544384286,-63.18881682008511
Bi-GRU,7,2024-12,31,79.26988947295372,103.05839491911834,49.91520416255916
Bi-GRU,7,2025-01,31,81.73578226614384,149.03684739798504,17.459370457837608
Bi-GRU,7,2025-02,28,54.30076680971045,67.01206983397047,-24.245503455400513
Bi-GRU,7,2025-03,31,88.19480535339925,166.47112245777993,54.46575297607526
Bi-GRU,7,2025-04,30,56.802353600164246,64.65031771738067,16.696825377643073
Bi-GRU,7,2025-05,31,42.09141433599497,54.21836985334153,-19.905239263609573
Bi-GRU,14,2024-06,17,22.125795368324322,28.587681271585794,-13.531217437018382
Bi-GRU,14,2024-07,31,22.02826352657812,26.281916828003062,-12.65281014577037
Bi-GRU,14,2024-08,31,40.84083498485628,58.721722477176925,-7.814749947478719
Bi-GRU,14,2024-09,30,72.36653541376197,83.5748794269066,-68.92529708196723
Bi-GRU,14,2024-10,31,135.66901722838801,209.93970485726624,57.12704516322379
Bi-GRU,14,2024-11,30,69.60507249683143,90.8048428416951,-4.498680351674606
Bi-GRU,14,2024-12,31,82.03366988753118,103.65180716320708,42.192621625719504
Bi-GRU,14,2025-01,31,81.0085641568707,151.53491095668622,36.8246666885191
Bi-GRU,14,2025-02,28,57.64285311847929,67.43856683473132,-48.326767501022175
Bi-GRU,14,2025-03,31,77.16039286409654,144.0443185523702,41.218259261981096
Bi-GRU,14,2025-04,30,55.962136905640364,65.18130060095105,13.441297545780701
Bi-GRU,14,2025-05,31,35.747753005595,46.5834714530987,-15.6240612564068
Bi-LSTM,1,2024-06,17,32.279412473825865,39.146636620650284,-26.613609549753832
Bi-LSTM,1,2024-07,31,31.984691075980688,36.62850274188653,-23.657190812931926
Bi-LSTM,1,2024-08,31,50.355113152534756,65.11831303320551,-17.55578981820617
Bi-LSTM,1,2024-09,30,55.608342167238426,73.33752951231374,-40.757557379206055
Bi-LSTM,1,2024-10,31,118.75860023354332,152.6308467102048,24.981381411033254
Bi-LSTM,1,2024-11,30,82.19825894385578,116.06206673871488,-34.797327309350216
Bi-LSTM,1,2024-12,31,93.551843990722,127.72471352995898,-11.55762787932354
Bi-LSTM,1,2025-01,31,86.73770667997098,153.4417326265575,41.555255561586314
Bi-LSTM,1,2025-02,28,50.57506216450463,64.54867914393297,-26.503248576873155
Bi-LSTM,1,2025-03,31,69.93748916084728,131.79453163984138,9.956028609266168
Bi-LSTM,1,2025-04,30,48.407175856083626,59.50227134921537,-4.650980522980336
Bi-LSTM,1,2025-05,31,33.94514376670122,46.5743843360394,4.44530717812236
Bi-LSTM,3,2024-06,17,21.909509442308384,28.196841798681554,-8.636734055245647
Bi-LSTM,3,2024-07,31,26.568338937576755,32.60952478082983,-17.39936270084115
Bi-LSTM,3,2024-08,31,40.108747368618396,57.14572593780785,-10.585705674223394
Bi-LSTM,3,2024-09,30,56.437170239041265,70.11955920854899,-39.73924910848343
Bi-LSTM,3,2024-10,31,153.99362885086768,210.86595736120833,23.60558175271553
Bi-LSTM,3,2024-11,30,140.8304921209812,189.2200471819435,-74.8557898283005
Bi-LSTM,3,2024-12,31,93.89001079095948,112.47279673141982,-10.982985047082796
Bi-LSTM,3,2025-01,31,101.28384897208983,163.28106358669285,42.48969047108001
Bi-LSTM,3,2025-02,28,51.90555078749147,62.87515676997642,-23.2149667793087
Bi-LSTM,3,2025-03,31,81.2679178416729,154.59123757262117,22.965568503064453
Bi-LSTM,3,2025-04,30,57.99449956218402,66.7425802868415,23.949907313783932
Bi-LSTM,3,2025-05,31,37.294093923703315,48.48020157419074,-4.295236735094009
Bi-LSTM,7,2024-06,17,38.47948683535354,43.13674318198997,-35.99670902420495
Bi-LSTM,7,2024-07,31,39.52738122329598,46.03307871835421,-34.785067502769756
Bi-LSTM,7,2024-08,31,49.394800292388105,62.84026300697087,-27.918627254905267
Bi-LSTM,7,2024-09,30,70.07457680801554,80.80707861148734,-64.16064496139688
Bi-LSTM,7,2024-10,31,203.6354589769917,278.4005586679858,12.856300416492616
Bi-LSTM,7,2024-11,30,127.47687718073529,160.30732483195834,-74.72200490732992
Bi-LSTM,7,2024-12,31,91.46715847619116,115.13502252906687,71.46197549950688
Bi-LSTM,7,2025-01,31,80.38358991953635,154.0506592222327,43.42334752601959
Bi-LSTM,7,2025-02,28,55.15835364056487,66.56362545913937,-33.43580015216559
Bi-LSTM,7,2025-03,31,83.12948116708186,153.36138590165203,28.85495524012269
Bi-LSTM,7,2025-04,30,61.34015379498401,70.08465282358218,18.488123144209347
Bi-LSTM,7,2025-05,31,33.56555778989869,46.36729334668761,-17.481097415089636
Bi-LSTM,14,2024-06,17,27.276662802871545,32.473212002370055,-21.982597642961682
Bi-LSTM,14,2024-07,31,24.199910804388992,28.147733358391882,-14.518267283276225
Bi-LSTM,14,2024-08,31,36.635558561451994,55.55697492217072,-0.49998759069753135
Bi-LSTM,14,2024-09,30,56.097924997905906,70.34693024256082,-48.966159556806105
Bi-LSTM,14,2024-10,31,176.55986132929402,224.30369401288527,-73.74026876495734
Bi-LSTM,14,2024-11,30,85.00609224985045,99.86500421161793,-25.305731241405063
Bi-LSTM,14,2024-12,31,92.38071414732164,116.21394822783877,22.259113437706386
Bi-LSTM,14,2025-01,31,83.93764050064547,161.24513426921362,72.7330366584562
Bi-LSTM,14,2025-02,28,42.76900498196485,55.3379664216207,-19.510530610701917
Bi-LSTM,14,2025-03,31,77.1987043148087,142.32001828871682,36.777610603840074
Bi-LSTM,14,2025-04,30,59.97690472975373,69.33953612217296,18.471141283959113
Bi-LSTM,14,2025-05,31,29.5189346394712,40.03840200904727,-6.7356167063117285
XGBoost,1,2024-06,17,22.863571166992188,27.778428938970652,-5.081913667566634
XGBoost,1,2024-07,31,22.279198431199596,27.61480267887121,-0.4019637569304463
XGBoost,1,2024-08,31,46.791713591544855,71.16402926300314,-6.3389390514742905
XGBoost,1,2024-09,30,115.1417226155599,137.94830441049803,-114.97364807128906
XGBoost,1,2024-10,31,121.6998054750504,181.8804497934705,21.229610320060484
XGBoost,1,2024-11,30,73.16556650797526,93.10247332378653,1.2071945190429725
XGBoost,1,2024-12,31,74.01482366746471,99.88691022320707,14.402320123487902
XGBoost,1,2025-01,31,81.97299292779738,132.30207431803754,25.763006394909276
XGBoost,1,2025-02,28,40.87408719744001,53.90982931095835,-6.727488381522044
XGBoost,1,2025-03,31,54.03602846207157,125.4160402172838,18.36921642672631
XGBoost,1,2025-04,30,44.7162841796875,55.43741030554902,15.036306762695318
XGBoost,1,2025-05,31,33.45528584141884,42.7739569200792,6.144745857484883
XGBoost,3,2024-06,17,23.65138334386489,29.076432192478105,-5.911488252527579
XGBoost,3,2024-07,31,23.567742624590473,29.089582960163625,-6.76208249984249
XGBoost,3,2024-08,31,66.75289030997983,93.69925667851683,-35.533601822391624
XGBoost,3,2024-09,30,186.98780110677083,200.7335423682446,-186.98780110677083
XGBoost,3,2024-10,31,150.60974810200352,195.41150735012263,-18.89084846742692
XGBoost,3,2024-11,30,71.46812845865885,93.92059494466594,4.023230997721354
XGBoost,3,2024-12,31,71.02422800371724,93.45704276524346,24.527579030682965
XGBoost,3,2025-01,31,98.33529367754537,166.51190060095948,53.62070588142641
XGBoost,3,2025-02,28,55.35590853009905,63.64109293524487,-20.70402036394392
XGBoost,3,2025-03,31,79.0183617376512,145.27615040787128,29.9333249984249
XGBoost,3,2025-04,30,61.60289510091146,70.20878720871198,28.958751424153647
XGBoost,3,2025-05,31,32.444412723664314,42.144573151941614,-0.42369916362147453
XGBoost,7,2024-06,17,29.5438331155216,34.824919291643674,-10.038885677562039
XGBoost,7,2024-07,31,21.804354759954638,26.97792197952383,-7.865947108114921
XGBoost,7,2024-08,31,59.820225377236646,83.61441257935569,-23.118553407730584
XGBoost,7,2024-09,30,214.4827443440755,226.44011188958768,-214.4827443440755
XGBoost,7,2024-10,31,170.01669409967238,235.3324811085444,7.268741730720759
XGBoost,7,2024-11,30,76.22237345377604,105.83175346930526,20.301363118489583
XGBoost,7,2024-12,31,82.95901341592112,105.55087214717916,55.95448500110257
XGBoost,7,2025-01,31,92.26571950604838,162.79745264678564,44.87791984311996
XGBoost,7,2025-02,28,51.48960331508091,62.37941782917831,-25.82726505824497
XGBoost,7,2025-03,31,82.24953682191911,157.52911839720014,40.94748072470388
XGBoost,7,2025-04,30,62.88751475016276,73.62478997673664,31.481214904785155
XGBoost,7,2025-05,31,37.813693631079886,52.08392094864517,-6.577393070343995
XGBoost,14,2024-06,17,25.752464743221505,34.00634318397415,-15.49250344669117
XGBoost,14,2024-07,31,25.186608099168346,29.840887805921664,-8.101783998550909
XGBoost,14,2024-08,31,46.53990714780746,66.92398535253014,-7.0336638419858835
XGBoost,14,2024-09,30,128.23499857584636,140.33312239718245,-127.84641621907552
XGBoost,14,2024-10,31,148.50076293945312,218.83364946479477,78.29326703471523
XGBoost,14,2024-11,30,64.00133260091145,92.35426883923617,23.706785074869792
XGBoost,14,2024-12,31,84.11165988060736,109.39584621300475,50.09334342710434
XGBoost,14,2025-01,31,83.75834311208418,159.07428464877836,67.63879099199849
XGBoost,14,2025-02,28,51.125337328229634,60.86608070782242,-15.664056505475724
XGBoost,14,2025-03,31,84.14566138482863,148.864893872979,46.311034171812
XGBoost,14,2025-04,30,59.501220703125,72.19439475076037,29.557276407877605
XGBoost,14,2025-05,31,33.87397175450479,41.69651107153853,-2.433867915984123
